serial,production_date,shipment_part_serial
10418D1506114379,2015年/第6週,BC4DFB667910
10418D1506119577,2015年/第6週,BC4DFB666BD0
10418D1506113675,2015年/第6週,BC4DFB666E50
10418D1506113692,2015年/第6週,BC4DFB666EA0
10418D1506119043,2015年/第6週,BC4DFB668E40
10418D1506113689,2015年/第6週,BC4DFB66C850
10418D1506118975,2015年/第6週,BC4DFB66BA60
10418D1506114357,2015年/第6週,BC4DFB66B960
10418D1506119026,2015年/第6週,BC4DFB6694F0
10418D1506118979,2015年/第6週,BC4DFB668F20
10418D1506113698,2015年/第6週,BC4DFB66C7F0
10418D1506119546,2015年/第6週,BC4DFB668EE0
10418D1506119584,2015年/第6週,BC4DFB668F50
10418D1506113691,2015年/第6週,BC4DFB6688D0
10418D1506118966,2015年/第6週,BC4DFB668EB0
10418D1506118963,2015年/第6週,BC4DFB668F00
10418D1506114368,2015年/第6週,BC4DFB668A70
10418D1506113700,2015年/第6週,BC4DFB66BB10
10418D1506113695,2015年/第6週,BC4DFB66C230
10418D1506118973,2015年/第6週,BC4DFB66EDD0
10418D1506114387,2015年/第6週,BC4DFB66DD90
10418D1506118960,2015年/第6週,BC4DFB66F8F0
10418D1506115718,2015年/第6週,BC4DFB66FAF0
10418D1506118945,2015年/第6週,BC4DFB66E8C0
10418D1506113687,2015年/第6週,BC4DFB66E720
10418D1506118964,2015年/第6週,BC4DFB66E930
10418D1506119608,2015年/第6週,BC4DFB66ECE0
10418D1506115735,2015年/第6週,BC4DFB66F120
10418D1506118961,2015年/第6週,BC4DFB66F2C0
10418D1506116079,2015年/第6週,BC4DFB66EDB0
10418D1506116074,2015年/第6週,BC4DFB66F200
10418D1506119548,2015年/第6週,BC4DFB66F130
10418D1506115732,2015年/第6週,BC4DFB66FA80
10418D1506118976,2015年/第6週,BC4DFB677A40
10418D1506116069,2015年/第6週,BC4DFB677620
10418D1506117892,2015年/第6週,BC4DFB6776B0
10418D1506113334,2015年/第6週,BC4DFB65B140
10418D1506194880,2015年/第6週,BC4DFB65A8A0
10418D1506117912,2015年/第6週,BC4DFB65A3D0
10418D1506116072,2015年/第6週,BC4DFB65AA50
10418D1506194888,2015年/第6週,BC4DFB65AE00
